GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
CDH11,19136949,Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease.,Alzheimer's disease,"844 European ancestry cases, 1,255 European ancestry controls","1,547 European ancestry cases, 1,209 European ancestry controls",Xq21.31,X,92147221,rs2573905-?,rs2573905,2573905,2.00E-07
CXCL14,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,5q31.1,5,135810905,rs114090132-T,rs114090132,114090132,8.00E-07
SLC25A48,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,5q31.1,5,135810905,rs114090132-T,rs114090132,114090132,8.00E-07
APOC4-APOC2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
APOC4-APOC2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,19q13.32,19,44910319,rs75627662-T,rs75627662,75627662,8.00E-07
MTERF,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7q21.2,7,92101277,rs149454736-T,rs149454736,149454736,2.00E-07
AKAP9,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,7q21.2,7,92101277,rs149454736-T,rs149454736,149454736,2.00E-07
RNF165,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,18q21.1,18,46404184,rs80011616-A,rs80011616,80011616,2.00E-07
C18orf23,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,18q21.1,18,46404184,rs80011616-A,rs80011616,80011616,2.00E-07
LOXHD1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,18q21.1,18,46404184,rs80011616-A,rs80011616,80011616,2.00E-07
GRIN2B,20197096,Genome-wide analysis reveals novel genes influencing temporal lobe structure with relevance to neurodegeneration in Alzheimer's disease.,Brain structure (temporal lobe volume),"173 European ancestry Alzheimer's disease cases, 361 European ancestry Mild Cognitive Impairment cases, 208 European ancestry controls",NA,12p13.1,12,13770394,rs11055612-C,rs11055612,11055612,3.00E-06
IL9,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,5q31.1,5,135810905,rs114090132-T,rs114090132,114090132,8.00E-07
ANO3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11p14.2,11,26498505,rs117556552-T,rs117556552,117556552,5.00E-07
RPL36AP40,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11p14.2,11,26498505,rs117556552-T,rs117556552,117556552,5.00E-07
MUC15,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,11p14.2,11,26498505,rs117556552-T,rs117556552,117556552,5.00E-07
C14orf64,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,14q32.2,14,98492717,rs117908734-T,rs117908734,117908734,1.00E-06
C14orf177,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,14q32.2,14,98492717,rs117908734-T,rs117908734,117908734,1.00E-06
MCTP2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,15q26.2,15,94845722,rs8039237-C,rs8039237,8039237,1.00E-07
NR2F2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,15q26.2,15,94845722,rs8039237-C,rs8039237,8039237,1.00E-07
HMHA1,23571587,"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E Ïµ4,and the risk of late-onset Alzheimer disease in African Americans.",Alzheimer's disease (late onset),"1,968 African American cases, 3,928 African American controls",,19p13.3,19,1050421,rs115550680-G,rs115550680,115550680,2.00E-09
ADCY8,21116278,Genome-wide association with MRI atrophy measures as a quantitative trait locus for Alzheimer's disease.,Total ventricular volume (Alzheimer's disease interaction),"424 European ancestry mild cognitive impairment cases, 236 European ancestry Alzheimer's disease cases, 279 European ancestry controls",NA,8q24.22,8,130799787,rs263238-?,rs263238,263238,2.00E-06
EFR3A,23374588,Pharmacogenomics in Alzheimer's disease: a genome-wide association study of response to cholinesterase inhibitors.,Response to cholinesterase inhibitors in Alzheimer's disease,"92 European ancestry cases, 77 European ancestry controls","94 European ancestry cases, 74 European ancestry controls",8q24.22,8,131987689,rs2270875-G,rs2270875,2270875,9.00E-06
DTHD1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Hippocampal volume in Alzheimer's disease dementia,190 European ancestry Alzheimer's disease dementia cases,NA,4p14,4,36187535,rs116105213-C,rs116105213,116105213,4.00E-07
SDR9C7,25649651,Genetic Determinants of Survival in Patientswith Alzheimerâ€™s Disease.,Alzheimer's disease (survival time),983 cases,NA,12q13.3,12,56926927,rs840163-?,rs840163,840163,2.00E-06
GOLIM4,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,3q26.2,3,168031109,rs4955783-G,rs4955783,4955783,5.00E-07
MEMO1P3,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,3q26.2,3,168031109,rs4955783-G,rs4955783,4955783,5.00E-07
EGFEM1P,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,3q26.2,3,168031109,rs4955783-G,rs4955783,4955783,5.00E-07
DROSHA,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,5p13.3,5,31575350,rs181850653-T,rs181850653,181850653,9.00E-07
C5orf22,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,5p13.3,5,31575350,rs181850653-T,rs181850653,181850653,9.00E-07
PDZD2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,190 European ancestry cases,NA,5p13.3,5,31575350,rs181850653-T,rs181850653,181850653,9.00E-07
KDM3B,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
REEP2,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
EGR1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
RPL7P19,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
ETF1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
HSPA9,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
SNORD63,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,5q31.2,5,138496342,rs10078434-T,rs10078434,10078434,7.00E-08
RBMXP1,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,6p12.3,6,48747159,rs11967676-G,rs11967676,11967676,9.00E-08
RNU7-65P,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,6p12.3,6,48747159,rs11967676-G,rs11967676,11967676,9.00E-08
CBLC,29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.,Cerebrospinal AB1-42 levels in Alzheimer's disease dementia,190 European ancestry AD dementia cases,NA,19q13.32,19,44885311,rs283812-C,rs283812,283812,3.00E-07
SNAR-I,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,3q28,3,190951729,rs9877502-A,rs9877502,9877502,5.00E-09
OSTN,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,3q28,3,190951729,rs9877502-A,rs9877502,9877502,5.00E-09
ELMO1,23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.,Alzheimer's disease (cognitive decline),303 European ancestry cases,,7p14.1,7,37325592,rs2392492-?,rs2392492,2392492,1.00E-06
PPP1R37,23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",Alzheimer's disease (late onset),"891 Japanese ancestry cases, 844 Japanese ancestry controls","1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls",19q13.32,19,44873027,rs519113-G,rs519113,519113,5.00E-39
TREM,23150908,Variant of TREM2 associated with the risk of Alzheimer's disease.,Alzheimer's disease,"3,550 European ancestry cases, 8,888 European ancestry controls","694 European ancestry cases, 4,375 European ancestry controls, 1,343 cases, 5,352 controls",6p21.1,6,41161514,rs75932628-T,rs75932628,75932628,2.00E-12
TREM,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,6p21.1,6,41368363,rs6922617-A,rs6922617,6922617,4.00E-08
TREM,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",6p21.1,6,41161469,rs143332484-T,rs143332484,143332484,2.00E-14
TREM,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",6p21.1,6,41161514,rs75932628-T,rs75932628,75932628,5.00E-24
